Match Number,Match Date,Venue,City,Toss Winner,Toss Decision,Innings,Batting Team,Bowling Team,Batter,Bowler,Over,Ball,Score
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,de Kock,Hazlewood,1,1,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,de Kock,Hazlewood,1,2,4
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,de Kock,Hazlewood,1,3,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,de Kock,Hazlewood,1,4,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,de Kock,Hazlewood,1,5,W
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Hazlewood,1,6,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Yash Dayal,2,1,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Yash Dayal,2,2,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Yash Dayal,2,3,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Yash Dayal,2,4,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Yash Dayal,2,5,1
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Yash Dayal,2,6,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Hazlewood,3,1,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Hazlewood,3,2,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Hazlewood,3,3,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Hazlewood,3,4,4
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Hazlewood,3,5,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Hazlewood,3,6,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Rasikh Salam,4,1,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Rasikh Salam,4,2,4
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Rasikh Salam,4,3,6
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Rasikh Salam,4,4,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Rasikh Salam,4,5,6
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Rasikh Salam,4,6,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Krunal,5,1,6
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Krunal,5,2,1
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Krunal,5,3,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Krunal,5,4,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Krunal,5,5,4
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Krunal,5,6,4
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Yash Dayal,6,1,4
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Yash Dayal,6,2,1
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Yash Dayal,6,3,4
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Yash Dayal,6,4,6
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Yash Dayal,6,5,4
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Yash Dayal,6,6,1
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Suyash Sharma,7,1,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Suyash Sharma,7,2,4
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Suyash Sharma,7,3,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Suyash Sharma,7,4,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Suyash Sharma,7,5,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Suyash Sharma,7,6,1
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Rasikh Salam,8,1,1lb
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Rasikh Salam,8,2,1w
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Rasikh Salam,8,2,1
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Rasikh Salam,8,3,1
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Rasikh Salam,8,4,1w
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Rasikh Salam,8,4,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Rasikh Salam,8,5,4
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Rasikh Salam,8,6,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Suyash Sharma,9,1,1w
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Suyash Sharma,9,1,6
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Suyash Sharma,9,2,2
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Suyash Sharma,9,3,1
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Suyash Sharma,9,4,2
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Suyash Sharma,9,5,6
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Suyash Sharma,9,6,4
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Rasikh Salam,10,1,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Rasikh Salam,10,2,1
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Rasikh Salam,10,3,4
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Rasikh Salam,10,4,•
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Rasikh Salam,10,5,6
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Narine,Rasikh Salam,10,6,W
1st Match,22 March 2025,Eden Gardens,Kolkata,RCB,field,1,KKR,RCB,Rahane,Krunal,11,1,1
